2
0,1
11
danceability,real
energy,real
instrumentalness,real
key,12,0,1,2,3,4,5,6,7,8,9,10,11
loudness,real
mode,2,0,1
speechiness,real
tempo,real
time_signature,real
valence,real
acousticness,real
7140
0.234,0.0324,0.833,5,-23.913,1,0.0362,93.365,3,0.137,0.987,0,
0.312,0.156,0.571,5,-17.421,1,0.0381,134.179,3,0.184,0.797,0,
0.36,0.00299,0.914,5,-37.566,1,0.0604,66.006,5,0.0452,0.996,0,
0.0695,0.0108,0.76,4,-26.729,1,0.0429,75.279,3,0.0373,0.965,0,
0.264,0.0193,0.909,8,-30.885,1,0.0357,65.07,3,0.0651,0.985,0,
0.0818,0.0218,0.841,0,-28.778,0,0.0409,172.879,3,0.0619,0.965,0,
0.442,0.017,0.893,4,-24.902,1,0.0812,76.726,1,0.0374,0.995,0,
0.26,0.161,1.01e-05,1,-18.044,1,0.0419,117.787,4,0.254,0.748,0,
0.285,0.14,0.896,9,-26.053,1,0.0435,153.694,3,0.293,0.986,0,
0.193,0.095,0.277,4,-23.482,1,0.0468,107.44,4,0.0432,0.935,0,
0.211,0.0292,0.875,11,-17.376,0,0.0406,118.818,3,0.0768,0.943,0,
0.713,1.0,0.772,7,-25.126,0,0.0474,91.527,3,0.012,0.715,0,
0.348,0.108,0.908,0,-26.546,1,0.0327,77.924,1,0.351,0.987,0,
0.329,0.472,0.507,5,-11.478,1,0.0325,95.47,4,0.27,0.784,0,
0.317,0.0798,0.229,2,-20.489,1,0.049,74.114,4,0.209,0.985,0,
0.519,0.234,0.94,8,-16.874,1,0.0814,124.957,3,0.314,0.977,0,
0.686,0.108,0,8,-25.403,1,0.761,86.234,4,0.543,0.784,0,
0.308,0.123,0.887,0,-23.975,1,0.0366,106.649,4,0.24,0.989,0,
0.279,0.151,2.41e-06,8,-18.575,1,0.0581,79.364,1,0.107,0.965,0,
0.331,0.0875,0.899,2,-22.518,0,0.0389,118.171,4,0.0682,0.984,0,
0.254,0.0642,0.877,5,-20.474,0,0.0387,80.731,4,0.0399,0.972,0,
0.614,0.332,0,0,-21.017,1,0.737,97.21,4,0.699,0.791,0,
0.315,0.0266,0.227,7,-23.232,1,0.0392,97.367,4,0.195,0.938,0,
0.0631,0.193,0.817,2,-19.238,0,0.0449,66.992,5,0.0368,0.588,0,
0.356,0.21,0.316,4,-18.967,1,0.0732,172.525,3,0.308,0.882,0,
0.0798,0.0631,0.91,8,-24.093,1,0.0431,80.977,4,0.0284,0.986,0,
0.116,0.0487,0.879,5,-25.916,0,0.0489,78.324,4,0.0302,0.994,0,
0.445,0.105,0.894,5,-19.101,1,0.035,99.271,3,0.377,0.986,0,
0.211,0.0117,0.568,7,-35.214,0,0.0412,90.447,1,0.0745,0.987,0,
0.282,0.204,0.00533,10,-15.941,1,0.0451,61.412,4,0.269,0.962,0,
0.593,0.324,0.971,4,-23.299,1,0.043,152.587,4,0.917,0.934,0,
0.274,0.303,0.917,10,-21.59,1,0.0304,139.869,4,0.675,0.987,0,
0.49,0.0648,1.23e-06,1,-19.214,0,0.0883,94.004,3,0.367,0.844,0,
0.137,0.257,0.927,2,-18.04,0,0.0346,65.271,4,0.234,0.956,0,
0.237,0.0248,0.879,11,-28.305,1,0.0378,177.334,3,0.351,0.996,0,
0.489,0.0129,0.598,8,-35.378,1,0.033,61.301,4,0.195,0.966,0,
0.0754,0.00219,0.296,3,-43.277,1,0.0469,174.438,4,0.0337,0.411,0,
0.476,0.00767,0.876,11,-30.789,0,0.0588,81.905,3,0.136,0.986,0,
0.196,0.0751,0.175,7,-25.866,0,0.0449,140.897,5,0.0356,0.994,0,
0.277,0.311,0.219,9,-19.347,1,0.0446,100.888,4,0.293,0.897,0,
0.0689,0.0475,0.819,4,-27.376,0,0.0508,74.864,3,0.0341,0.937,0,
0.431,0.102,0.736,7,-19.814,1,0.0378,98.924,4,0.343,0.968,0,
0.344,0.92,0,1,-5.122,0,0.0487,115.727,4,0.51,0.00634,0,
0.134,0.143,0.0742,11,-18.96,0,0.0392,86.028,4,0.0788,0.946,0,
0.454,0.101,7.2e-05,2,-24.83,1,0.0437,86.416,4,0.591,0.987,0,
0.28,0.0235,0.944,8,-26.275,0,0.0603,66.459,3,0.13,0.966,0,
0.21,0.0525,6.92e-05,8,-23.179,1,0.0608,62.37,4,0.134,0.912,0,
0.342,0.88,5.66e-05,4,-5.845,0,0.0746,160.03,4,0.339,0.00398,0,
0.247,0.132,0.852,4,-25.655,0,0.0338,67.719,3,0.341,0.891,0,
0.319,0.333,0.886,0,-16.185,1,0.0411,106.22,3,0.197,0.94,0,
0.0897,0.00182,6.76e-05,7,-37.21,1,0.043,80.97,4,0.0326,0.91,0,
0.465,0.325,0.0246,4,-16.451,1,0.0439,99.976,4,0.565,0.867,0,
0.286,0.168,0.016,0,-13.417,0,0.0478,77.778,4,0.25,0.981,0,
